pkt,sample_idx,rssi,ant_array,channel,i,q,slot_duration,sample_rate,filtering
0,0,-56,6,16,5,185,2,1,0
0,1,-56,6,16,-181,20,2,1,0
0,2,-56,6,16,-18,-175,2,1,0
0,3,-56,6,16,174,-48,2,1,0
0,4,-56,6,16,48,177,2,1,0
0,5,-56,6,16,-172,62,2,1,0
0,6,-56,6,16,-78,-165,2,1,0
0,7,-56,6,16,163,-88,2,1,0
0,8,-56,6,16,125,-143,2,1,0
0,9,-56,6,16,-106,-31,2,1,0
0,10,-56,6,16,53,74,2,1,0
0,11,-56,6,16,27,-186,2,1,0
0,12,-56,6,16,-95,48,2,1,0
0,13,-56,6,16,92,20,2,1,0
0,14,-56,6,16,-136,-131,2,1,0
0,15,-56,6,16,-30,100,2,1,0
0,16,-56,6,16,73,-56,2,1,0
0,17,-56,6,16,-187,-8,2,1,0
0,18,-56,6,16,55,97,2,1,0
0,19,-56,6,16,12,-92,2,1,0
0,20,-56,6,16,-144,127,2,1,0
0,21,-56,6,16,104,37,2,1,0
0,22,-56,6,16,-53,-76,2,1,0
0,23,-56,6,16,-9,182,2,1,0
0,24,-56,6,16,99,-49,2,1,0
0,25,-56,6,16,-92,-17,2,1,0
0,26,-56,6,16,118,144,2,1,0
0,27,-56,6,16,35,-105,2,1,0
0,28,-56,6,16,-75,41,2,1,0
0,29,-56,6,16,187,30,2,1,0
0,30,-56,6,16,-48,-95,2,1,0
0,31,-56,6,16,-19,86,2,1,0
0,32,-56,6,16,147,-108,2,1,0
0,33,-56,6,16,-102,-33,2,1,0
0,34,-56,6,16,50,79,2,1,0
0,35,-56,6,16,22,-187,2,1,0
0,36,-56,6,16,-98,50,2,1,0
0,37,-56,6,16,94,20,2,1,0
0,38,-56,6,16,-106,-151,2,1,0
0,39,-56,6,16,-37,103,2,1,0
0,40,-56,6,16,81,-50,2,1,0
0,41,-56,6,16,-188,-23,2,1,0
0,42,-56,6,16,41,92,2,1,0
0,43,-56,6,16,22,-91,2,1,0
0,44,-56,6,16,-143,109,2,1,0
1,0,-55,6,0,168,-112,2,1,0
1,1,-55,6,0,111,150,2,1,0
1,2,-55,6,0,-144,124,2,1,0
1,3,-55,6,0,-142,-118,2,1,0
1,4,-55,6,0,122,-144,2,1,0
1,5,-55,6,0,159,107,2,1,0
1,6,-55,6,0,-99,173,2,1,0
1,7,-55,6,0,-167,-86,2,1,0
1,8,-55,6,0,-200,-34,2,1,0
1,9,-55,6,0,28,107,2,1,0
1,10,-55,6,0,42,-88,2,1,0
1,11,-55,6,0,-170,104,2,1,0
1,12,-55,6,0,87,58,2,1,0
1,13,-55,6,0,-39,-85,2,1,0
1,14,-55,6,0,-37,189,2,1,0
1,15,-55,6,0,104,-18,2,1,0
1,16,-55,6,0,-88,-37,2,1,0
1,17,-55,6,0,99,171,2,1,0
1,18,-55,6,0,54,-98,2,1,0
1,19,-55,6,0,-86,29,2,1,0
1,20,-55,6,0,190,40,2,1,0
1,21,-55,6,0,-27,-111,2,1,0
1,22,-55,6,0,-41,86,2,1,0
1,23,-55,6,0,161,-110,2,1,0
1,24,-55,6,0,-100,-58,2,1,0
1,25,-55,6,0,36,85,2,1,0
1,26,-55,6,0,45,-188,2,1,0
1,27,-55,6,0,-108,20,2,1,0
1,28,-55,6,0,82,43,2,1,0
1,29,-55,6,0,-89,-172,2,1,0
1,30,-55,6,0,-56,97,2,1,0
1,31,-55,6,0,83,-27,2,1,0
1,32,-55,6,0,-192,-42,2,1,0
1,33,-55,6,0,30,109,2,1,0
1,34,-55,6,0,46,-84,2,1,0
1,35,-55,6,0,-169,94,2,1,0
1,36,-55,6,0,95,50,2,1,0
1,37,-55,6,0,-35,-87,2,1,0
1,38,-55,6,0,-64,185,2,1,0
1,39,-55,6,0,114,-25,2,1,0
1,40,-55,6,0,-81,-41,2,1,0
1,41,-55,6,0,85,172,2,1,0
1,42,-55,6,0,54,-98,2,1,0
1,43,-55,6,0,-99,21,2,1,0
1,44,-55,6,0,185,46,2,1,0
2,0,-55,6,21,183,-54,2,1,0
2,1,-55,6,21,66,177,2,1,0
2,2,-55,6,21,-175,70,2,1,0
2,3,-55,6,21,-95,-166,2,1,0
2,4,-55,6,21,157,-97,2,1,0
2,5,-55,6,21,114,150,2,1,0
2,6,-55,6,21,-146,123,2,1,0
2,7,-55,6,21,-119,-141,2,1,0
2,8,-55,6,21,-167,-102,2,1,0
2,9,-55,6,21,9,103,2,1,0
2,10,-55,6,21,51,-71,2,1,0
2,11,-55,6,21,-175,70,2,1,0
2,12,-55,6,21,83,55,2,1,0
2,13,-55,6,21,-40,-73,2,1,0
2,14,-55,6,21,-44,182,2,1,0
2,15,-55,6,21,101,-23,2,1,0
2,16,-55,6,21,-76,-29,2,1,0
2,17,-55,6,21,102,166,2,1,0
2,18,-55,6,21,44,-92,2,1,0
2,19,-55,6,21,-72,44,2,1,0
2,20,-55,6,21,189,11,2,1,0
2,21,-55,6,21,-52,-88,2,1,0
2,22,-55,6,21,-2,87,2,1,0
2,23,-55,6,21,131,-134,2,1,0
2,24,-55,6,21,-100,-26,2,1,0
2,25,-55,6,21,57,61,2,1,0
2,26,-55,6,21,-18,-186,2,1,0
2,27,-55,6,21,-75,73,2,1,0
2,28,-55,6,21,87,-5,2,1,0
2,29,-55,6,21,-161,-102,2,1,0
2,30,-55,6,21,-2,97,2,1,0
2,31,-55,6,21,49,-75,2,1,0
2,32,-55,6,21,-184,64,2,1,0
2,33,-55,6,21,78,61,2,1,0
2,34,-55,6,21,-25,-83,2,1,0
2,35,-55,6,21,-63,180,2,1,0
2,36,-55,6,21,98,-18,2,1,0
2,37,-55,6,21,-84,-24,2,1,0
2,38,-55,6,21,89,164,2,1,0
2,39,-55,6,21,39,-90,2,1,0
2,40,-55,6,21,-72,44,2,1,0
2,41,-55,6,21,188,40,2,1,0
2,42,-55,6,21,-51,-89,2,1,0
2,43,-55,6,21,-14,90,2,1,0
2,44,-55,6,21,132,-143,2,1,0
3,0,-56,6,12,38,-183,2,1,0
3,1,-56,6,12,180,16,2,1,0
3,2,-56,6,12,-3,178,2,1,0
3,3,-56,6,12,-182,-6,2,1,0
3,4,-56,6,12,8,-180,2,1,0
3,5,-56,6,12,183,-14,2,1,0
3,6,-56,6,12,30,180,2,1,0
3,7,-56,6,12,-178,39,2,1,0
3,8,-56,6,12,-169,73,2,1,0
3,9,-56,6,12,79,63,2,1,0
3,10,-56,6,12,-23,-83,2,1,0
3,11,-56,6,12,-81,166,2,1,0
3,12,-56,6,12,101,-16,2,1,0
3,13,-56,6,12,-79,-42,2,1,0
3,14,-56,6,12,95,163,2,1,0
3,15,-56,6,12,61,-83,2,1,0
3,16,-56,6,12,-86,22,2,1,0
3,17,-56,6,12,169,88,2,1,0
3,18,-56,6,12,-17,-101,2,1,0
3,19,-56,6,12,-35,85,2,1,0
3,20,-56,6,12,174,-75,2,1,0
3,21,-56,6,12,-80,-55,2,1,0
3,22,-56,6,12,31,85,2,1,0
3,23,-56,6,12,75,-169,2,1,0
3,24,-56,6,12,-103,15,2,1,0
3,25,-56,6,12,77,44,2,1,0
3,26,-56,6,12,-69,-170,2,1,0
3,27,-56,6,12,-66,76,2,1,0
3,28,-56,6,12,88,-18,2,1,0
3,29,-56,6,12,-167,-72,2,1,0
3,30,-56,6,12,7,100,2,1,0
3,31,-56,6,12,44,-76,2,1,0
3,32,-56,6,12,-177,62,2,1,0
3,33,-56,6,12,76,63,2,1,0
3,34,-56,6,12,-30,-87,2,1,0
3,35,-56,6,12,-80,167,2,1,0
3,36,-56,6,12,100,-22,2,1,0
3,37,-56,6,12,-76,-48,2,1,0
3,38,-56,6,12,51,181,2,1,0
3,39,-56,6,12,64,-77,2,1,0
3,40,-56,6,12,-90,15,2,1,0
3,41,-56,6,12,158,94,2,1,0
3,42,-56,6,12,-8,-98,2,1,0
3,43,-56,6,12,-47,79,2,1,0
3,44,-56,6,12,178,-47,2,1,0
4,0,-55,6,33,-180,79,2,1,0
4,1,-55,6,33,-88,-182,2,1,0
4,2,-55,6,33,172,-109,2,1,0
4,3,-55,6,33,108,167,2,1,0
4,4,-55,6,33,-164,106,2,1,0
4,5,-55,6,33,-134,-150,2,1,0
4,6,-55,6,33,140,-146,2,1,0
4,7,-55,6,33,159,121,2,1,0
4,8,-55,6,33,183,62,2,1,0
4,9,-55,6,33,-9,-106,2,1,0
4,10,-55,6,33,-47,73,2,1,0
4,11,-55,6,33,181,-76,2,1,0
4,12,-55,6,33,-93,-62,2,1,0
